date,start,end,title,domain,activity,campus,groups,venue,staff
2025-07-24,2025-07-24T15:00,2025-07-24T17:00,Open Working Problem 45,PBL,Tutorial,CCS,D,GO93.08.51,Natalie Govind
2025-07-24,2025-07-24T15:00,2025-07-24T17:00,Open Working Problem 45,PBL,Tutorial,Callaghan,J,GP325,TBA
2025-07-24,2025-07-24T15:30,2025-07-24T17:30,Open Working Problem 45,PBL,Tutorial,Callaghan,F,GP328,TBA
2025-07-24,2025-07-24T15:30,2025-07-24T17:30,Open Working Problem 45,PBL,Tutorial,Callaghan,H,GP327,Roger Liang
2025-07-24,2025-07-24T15:30,2025-07-24T17:30,Open Working Problem 45,PBL,Tutorial,Callaghan,L,GP326,Jeff Regnis
2025-07-24,2025-07-24T15:30,2025-07-24T17:30,Open Working Problem 45,PBL,Tutorial,Callaghan,O,GP321,Neil Spratt
2025-07-24,2025-07-24T15:30,2025-07-24T17:30,Open Working Problem 45,PBL,Tutorial,Callaghan,P,GP324,Lauren Harms
2025-07-25,2025-07-25T09:00,2025-07-25T10:30,"Reproductive Physiology Introduction: Sex Hormones, Pubertal Development and the Menstrual Cycle",Physiology,Lecture,Both,ALL,Zoom 2025,Prof Neil Spratt
2025-07-25,2025-07-25T11:00,2025-07-25T12:00,The X and Y Chromosomes,Genetics,Lecture,Both,ALL,Zoom 2025,Dr Gerard Kaiko
2025-07-25,2025-07-25T13:00,2025-07-25T14:30,Sexuality and Identity,Interactional Skills,Tutorial,CCS,A,GO93.08.58,Kate Dundas
2025-07-25,2025-07-25T15:00,2025-07-25T16:30,Sexuality and Identity,Interactional Skills,Tutorial,CCS,B,GO93.08.58,Kate Dundas
2025-07-28,2025-07-28T08:30,2025-07-28T10:00,Structured Clinical Skills: Women's History Taking 1,Clinical Skills,Tutorial,CCS,B,GO93.08.60,Peter Bae
2025-07-28,2025-07-28T09:00,2025-07-28T10:30,Middle Working Problem 45,PBL,Tutorial,CCS,C,GO93.08.55,Roving Tutor
2025-07-28,2025-07-28T09:00,2025-07-28T10:30,Middle Working Problem 45,PBL,Tutorial,CCS,D,GO93.08.51,Roving Tutor
2025-07-28,2025-07-28T08:30,2025-07-28T10:00,Structured Clinical Skills: Women's History Taking 1,Clinical Skills,Tutorial,Callaghan,G,GP327,Karma Tenzin
2025-07-28,2025-07-28T08:30,2025-07-28T10:00,Structured Clinical Skills: Women's History Taking 1,Clinical Skills,Tutorial,Callaghan,H,GP326,Khanrin Vashum
2025-07-28,2025-07-28T08:30,2025-07-28T10:00,Structured Clinical Skills: Women's History Taking 1,Clinical Skills,Tutorial,Callaghan,J,GP328,Juan Morales Franco
2025-07-28,2025-07-28T08:30,2025-07-28T10:00,Middle Working Problem 45,PBL,Tutorial,Callaghan,E,GP325,Roving Tutor
2025-07-28,2025-07-28T08:30,2025-07-28T10:00,Middle Working Problem 45,PBL,Tutorial,Callaghan,F,GP324,Roving Tutor
2025-07-28,2025-07-28T08:30,2025-07-28T10:00,Middle Working Problem 45,PBL,Tutorial,Callaghan,I,GP321,Roving Tutor
